Review,Label,Predicted_Label
delicious fried chicken crispy juicy fast service clean space great spot quick meal definitely come back,1,1
good service clean comfortable environment staff kind friendly,1,1
delicious food accommodating staff,1,1
keep good workservice crew especially anh manager chang friendly rest staff helpful efficient,1,1
nice,1,1
ok good,1,1
good,1,1
delicious love,1,1
parking guy bad manner nobody restaurant changed parking location time take vnd friendly talk rude worth,1,1
good tasty meal,1,1
restaurant pretty empty lot grease table service okay get food quick ly,1,1
great chicken sumptuous reminded nigeria,1,1
ok good,1,1
friendly staff minimal english willing assist well done large eating area,1,1
good place grab quick meal,1,1
good,1,1
nice view,1,1
really good customer service pm thanks,1,1
ok fast food,1,1
usual kfc style compare place good taste,1,1
quite good quick bite bit expensive usually crowded meal time,1,0
great service,1,1
love friendly attendant tart egg,1,1
great service,1,1
staff polite vietnamese customer,1,1
speacking englisch bad quality,0,0
bad service chip cold waited min chip chicken cold,0,0
dry chivkend worst kfc hn,0,1
nice view food great,1,1
good food,1,1
quick delicious meal,1,1
really good,1,1
good,1,1
great food service,1,1
good,1,1
good good,1,1
nice yummy,1,1
good service,1,1
quite good,1,1
nice,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good,1,1
good food kfc,1,1
food good,1,1
said one first kfc establishment hanoi quality service dish good establishment year eating fried chicken greatly influenced,1,0
enthusiastic staff spacious space food come quickly,1,0
food delicious restaurant clean staff attentive attentive often go kfc hqv eat see employee named le binh tung hardworking diligent hope come support shop lot,1,1
restaurant clean staff enthusiastic,1,1
nv contemptuous attitude toward customer chicken nugget spaghetti cold fried chicken dry shop doesnt glove regulation dont allow okay restaurant doesnt glove enough ensure food hygiene safety,0,1
really like eating chizza cheese ball hot crispy delicious,1,1
delicious food clean restaurant,1,1
chicken rice still delicious quality always maintained super fast delivery bought lunch waited bit get,1,1
everyone come try using service staff super enthusiastic food always great there nothing criticize,1,0
eaten quite time delicious,1,1
good everyone experience,1,1
staff ok food good nothing change,1,1
spicy chicken nugget suitable child eat bought gave delicious food,1,1
food delicious staff enthusiastic,1,1
delicious staff ok dfaay many time,1,1
good clean chicken flavor,1,1
delicious food spacious space enthusiastic staff,1,1
think sell chicken thigh half size normal chicken thigh usually eat look unacceptable even though big brand fast food restaurant,1,1
enthusiastic staff quick delivery,1,1
good experience food came quickly soon paid got food enthusiastic friendly staff delicious complete food restaurant many time never disappointed support long time,1,1
chicken delicious come back lot really like thoughtful attitude staff le binh tung asked establishment increase salary staff,1,1
oh gosh staff cute friendliest one named phuong delicious crispy hot chicken served quickly,1,1
good food great service waiting time long friend enjoyed food peace come back,1,0
ive eaten many time quality good,1,1
delicious food enthusiastic staff good service,1,1
manager ly funny enthusiastic food still hot experience wonderful,1,0
delicious food nice staff,1,1
super friendly staff come back support,1,0
delicious food fast service enthusiastic staff clean restaurant supportive,1,1
chicken delicious delicious hot crispy,1,1
wonderful memorable experience enthusiastic staff good service,1,1
food delicious,1,1
staff fast dont need wait long,1,1
fast food friendly enthusiastic staff,1,1
famous fast food restaurant delicious fried chicken crispy outside soft inside boring variety food,1,1
staff quite agile attentive customer,1,1
greasy chizza delicious worth buying try truly overwhelming experience,1,1
good food friendly staff,1,1
received good quickly staff ok enthusiastic,1,1
yo chicken burger cheap delicious food also served enthusiastic staff,1,1
delicious food enthusiastic staff favorite staff member le binh tung,1,1
good food friendly staff,1,1
enthusiastic staff guest spicy chicken matter spicy edible experience quite satisfying,1,1
food generally delicious suitable taste staff also enthusiastic help,1,1
friendly enthusiastic staff,1,1
restaurant clean staff enthusiastic food delicious flavorful comfortable satisfied,1,1
good quality enthusiastic service come back,1,0
delicious everything ok,1,1
enthusiastic staff quickly delivers food customer hot fresh,1,1
delicious food staff fast enthusiastic lunch bit crowded sometimes wait bit still ok,1,1
good service friendly staff enjoyed breakfast,1,1
food delicious,1,1
birthday amazing see next yearbb,1,1
worth money enthusiastic friendly staff,1,1
bit crowded okay chicken delicious,1,1
good quality food good service,1,1
delicious nack,1,1
response ok enthusiastic machine beautiful,1,1
crispy delicious fried chicken amazing experience,1,1
food delicious,1,1
everyone come try using service staff super enthusiastic food always great there nothing criticize,1,0
delicious food friendly enthusiastic staff,1,1
quite perfect experience delicious chicken,1,1
good okay,1,1
restaurant delicious clean try,1,1
great experience,1,1
delicious food even though raining food still came quickly enthusiastic consulting staff detailed instruction use machine good experience,1,1
super delicious ice cream crispy fried chicken,1,1
yo chicken burger delicious cheap k,1,1
fast service,1,1
service bad ordered dish including french fry dish available immediately french fry staff bring minute finishing dish asking,0,1
delicious food enthusiastic dedicated service vnd service,1,1
seems like cleaning bit early food isnt bad salty probably taste addition food decoration quite ok ate chicken ice cream,1,0
every week order staff serf quickly,1,1
food delicious service good space bit small eating hot feel like fan air conditioner working,1,1
feel quite satisfied food food many dish choose hot delicious thing bit small return water restaurant regarding service clean,1,1
food delicious,1,1
delicious,1,1
food come quickly still hot crispy,1,0
food delicious delicious customer service enthusiastic dedicated restaurant space clean airy staff funny cute,1,1
moeis chicken look appealing ha delicious crispy spicy chicken,1,1
fried chicken kfc opinion best among fried chicken restaurant hanoi like best fried chicken crust crispy golden greasy meat lean greasy generally delicious,1,1
restaurant clean cool,1,1
delicious fast attentive service,1,1
super delicious food,1,1
good food good service back many time,1,1
