Review,Label,Predict_DT,Predict_RF
ive many jollibee store vietnam service store amazing security guard even put umbrella bike stop seat getting hot getting food,1,1,1
filipino know vietnamese word manager think know little english helpful getting u order chicken spaghetti taste similar jollibee ph delicious juicy tender go back,1,1,1
really nice tastyyyyy,1,1,1
good,1,1,1
top,1,1,0
good job,1,1,1
good chop,1,1,1
ok,1,1,0
good,1,1,1
ok,1,1,0
ok,1,1,0
ok,1,1,0
nice,1,1,1
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
best,1,1,0
never expected found got great food,1,1,1
ok,1,1,0
ok,1,1,0
good,1,1,1
good,1,1,1
good,1,1,1
good place fast food city,1,1,1
good choppp,1,1,1
good choppp,1,1,1
yummy ngonnnn,1,1,0
good choppp,1,1,1
good jobbbb,1,1,1
good choppp,1,1,1
good meal,1,1,1
good,1,1,1
delicious good serve,1,1,1
ok,1,1,0
ok,1,1,0
enjoyed,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
good,1,1,1
ok,1,1,0
delicious,1,1,1
wonderful,1,1,0
good,1,1,1
good,1,1,1
good,1,1,1
ok,1,1,0
good service,1,1,1
going jollibee automatically order crispy chicken spaghetti combo eat quickly still feel full chicken surprisingly delicious delicious chicken crispy delicious sauce,1,1,1
delicious food enthusiastic staff,1,1,1
good food clean service staff enthusiastic cheerful,1,1,1
favorite restaurant food delicious cute,1,1,1
super fast service need wait long food quality always guaranteed,1,1,1
delicious food enthusiastic service clean,1,1,1
delicious food enthusiastic service,1,1,1
food delicious staff good come back many time,1,1,1
delicious food enthusiastic service,1,1,1
delicious food friendly staff general top roof fluttering ceiling,1,1,1
good delicious food quality drink kind friendly staff,1,1,1
good service friendly polite staff delicious food family come twice week,1,1,1
staff super friendly warmly greeted walked served food quickly food delicious really like come back,1,1,1
good food clean,1,1,1
depending time food come quickly slowly food delicious crispy service good,1,1,1
clean restaurant enthusiastic staff delicious food reasonable price,1,1,1
delicious chicken good service staff,1,1,1
delicious food served quickly cheerfully,1,1,1
family often eats delicious eat lot big fan,1,1,1
delicious food clean store attentive service fast food delicious,1,1,1
delicious food delicious pasta good service excellent,1,1,1
delicious food friendly staff,1,1,1
delicious food airy space beautiful view come back next time,1,1,1
delicious enthusiastic service,1,1,1
attitude staff store manager quite impressive regular customer year,1,1,0
food delicious hot crispy wait staff friendly enthusiastic restaurant clean airy,1,1,1
delicious food good service staff,1,1,1
delicious food good quality friendly staff,1,1,1
feel like food delicious kid really like,1,1,1
delicious food enthusiastic service friendly staff,1,1,1
delicious enthusiastic service,1,1,1
delicious food service,1,1,1
delicious food clean extremely cute staff,1,1,1
food delicious clean service staff enthusiastic cute,1,1,1
delicious food clean friendly enthusiastic staff,1,1,1
delicious food friendly staff fresh air,1,1,1
friendly staff delicious food,1,1,1
delicious food enthusiastic cute staff fast delivery service convenient package party service,1,1,1
delicious food enthusiastic staff,1,1,1
good food fast service,1,1,1
delicious food clean enthusiastic polite staff,1,1,1
delicious food enthusiastic friendly service staff clean restaurant space,1,1,1
clean restaurant delicious food,1,1,1
delicious food enthusiastic staff handsome beautiful girl,1,1,1
food super delicious staff enthusiastic lovely,1,1,1
food delicious staff enthusiastic,1,1,1
great food friendly staff,1,1,1
food delicious clean staff enthusiastic gentle,1,1,1
delicious food enthusiastic cheerful staff,1,1,1
food delicious staff enthusiastic hehe,1,1,1
bad service take time long take call ferry still told wait,0,0,0
food quite delicious cost meal high enough fill service staff quite attentive,1,1,1
delicious food friendly service spacious space,1,1,1
better kfc,1,1,0
delicious food enthusiastic staff customer,1,1,1
mon delicious enthusiastic friendly service staff beautiful restaurant space,1,1,1
delicious food,1,1,1
food absolutely delicious staff lovely friendly,1,1,1
delicious food enthusiastic service friendly staff fresh air,1,1,1
satisfied enthusiastic attentive staff,1,1,1
delicious food friendly enthusiastic staff,1,1,1
food delicious service staff enthusiastic attentive,1,1,1
delicious food enthusiastic service,1,1,1
delicious food enthusiastic service come back next time,1,1,1
delicious food attentive service staff,1,1,1
delicious food attentive service,1,1,1
delicious food quick service enthusiastic staff,1,1,1
delicious food enthusiastic staff,1,1,1
delicious food great service,1,1,1
delicious food friendly enthusiastic staff beautiful view,1,1,1
delicious aaaa staff enthusiastic super clean price vnd,1,1,1
restaurant clean staff enthusiastic food come quickly like jollibees spaghetti super delicious,1,1,1
good food good experience,1,1,1
delicious food attentive service,1,1,1
delicious food lovely staff,1,1,1
delicious food friendly staff,1,1,1
good food good service friendly staff,1,1,1
delicious food fast friendly service,1,1,1
great enthusiastic attentive staff,1,1,1
delicious food friendly enthusiastic service,1,1,1
delicious food enthusiastic service,1,1,1
delicious food great enthusiastic service,1,1,1
delicious food friendly attentive service staff,1,1,1
safe hygienic enthusiastic staff many service promotion,1,1,1
delicious food warm service friendly staff fresh air,1,1,1
often missing item delivered customer call hotline unanswered bad service,0,0,0
delicious clean enthusiastic staff,1,1,1
good food good service staff,1,1,1
good food reasonable price friendly staff,1,1,1
happy friendly staff delicious food good service,1,1,1
delicious food fast friendly service,1,1,1
great food great staff quite professional,1,1,1
delicious food attentive service enthusiastic,1,1,1
delicious clean food,1,1,1
delicious food enthusiastic staff,1,1,1
delicious rice good quality rice soup thanh hoa,1,1,1
delicious food friendly enthusiastic service staff cool airy space,1,1,1
food delicious,1,1,1
great service staff enthusiastic,1,1,1
delicious food enthusiastic service staff,1,1,1
food delicious,1,1,1
delicious food professional polite service,1,1,1
delicious food enthusiastic friendly service comfortable space,1,1,1
good food friendly staff,1,1,1
delicious food enthusiastic service,1,1,1
delicious food friendly staff,1,1,1
delicious food,1,1,1
delicious food friendly staff worth coming back,1,1,1
food delicious staff great,1,1,1
delicious food attentive staff,1,1,1
attentive enthusiastic staff delicious food please come,1,1,1
delicious food enthusiastic friendly service staff hot crispy chicken,1,1,1
good food,1,1,1
delicious food enthusiastic service,1,1,1
food delicious restaurant clean airy service good,1,1,1
food delicious everyone eat,1,1,1
good food reasonable price,1,1,1
delicious food friendly staff,1,1,1
delicious food enthusiastic service friendly staff,1,1,1
good service staff delicious food point,1,1,1
delicious chicken noodle rich sauce ice cream sweet everything delicious friendly enthusiastic attentive staff clean seat,1,1,1
delicious food friendly staff,1,1,1
delicious food enthusiastic service,1,1,1
food delicious staff fun super cuteeee,1,1,1
delicious food,1,1,1
delicious food enthusiastic service,1,1,1
delicious food good service clean tidy restaurant,1,1,1
delicious food attentive enthusiastic staff,1,1,1
delicious food friendly staff,1,1,1
food quite delicious served quickly restaurant space beautiful airy,1,1,1
delicious chicken good service,1,1,1
good food good service,1,1,1
restaurant clean food delicious staff enthusiastic attentive great,1,1,1
delicious food beautiful view,1,1,1
delicious food friendly staff,1,1,1
delicious food enthusiastic staff,1,1,1
delicious food enthusiastic service friendly staff vnd,1,1,1
delicious enthusiastic staff,1,1,1
food delicious,1,1,1
delicious food friendly service,1,1,1
delicious food enthusiastic staff beautiful girl cute,1,1,1
good food good service spacious seating,1,1,1
meal felt delicious good service promise come back,1,1,1
good food good experience,1,1,1
staff bad attitude yelled customer standing group talking loudly affecting space bad experience,0,0,0
delicious food good enthusiastic service cute staff,1,1,1
delicious food enthusiastic service,1,1,1
delicious food enthusiastic service,1,1,1
delicious chicken cute staff,1,1,1
satisfied delicious food enthusiastic service,1,1,1
delicious food friendly service,1,1,1
friendly staff delicious food,1,1,1
delicious food served,1,1,1
good service enthusiastic staff quick service hot food delicious support lot,1,1,1
friendly staff great food,1,1,1
good food good service,1,1,1
delicious food enthusiastic service,1,1,1
delicious food friendly staff,1,1,1
delicious staff enthusiastic,1,1,1
top ceiling fluttered,1,1,0
enthusiastic service enthusiastic staff food come quickly time everything fine,1,1,1
staff enthusiastic happy space really clean food quick hot especially spaghetti cheese minced beef sauce must say absolutely delicious lunnn,1,1,1
great food attentive staff,1,1,1
delicious food attentive service,1,1,1
delicious food cheerful friendly staff clean restaurant space,1,1,1
delicious food clean restaurant enthusiastic staff,1,1,1
delicious food attentive service,1,1,1
food super delicious birthday party also nice,1,1,1
