Review,Label,Predicted_Label
nice dont salt joke asked several time offered chilli sauce used google translate nothing disappointing chicken seemed good chip needed salt otherwise,1,1
pretty standard fast food fried chicken service quite fast staff polite problem english speaker coming staff speak english plenty menu point order clean inside self serve,1,1
best chicken hanoi opinion shrimp burger good good french fry stop enjoy,1,1
honey one decent traditional better could use disk sauce given paper also self service rather cheap could better,1,1
slow service staff doesnt sense urgency,0,1
great,1,1
good,1,1
ate chicken delicious succulent filling rich flavor staff enthusiastic space clean airy,1,1
crispy succulent chicken delicious cake enthusiastic consultant restaurant crowded dont wait long,1,1
often order delivery facility even though quite close home im lazy go restaurant usually texas tran phu ha dong make thing quickly often promotion app delicious,1,1
crispy delicious chicken friendly staff good service attitude cooking time long come back,1,1
chicken fresh delicious side dish also delicious good service quality friendly staff,1,1
ate chicken delicious succulent filling rich flavor staff enthusiastic space clean airy,1,1
texas chicken tender juicy sweet spicy chicken best garlic herb butter chicken fragrant easily get sick chicken bbq sichuan sauce eaten,1,1
chicken delicious garlic butter delicious doesnt make sick price also reasonableyyyy super satisfied,1,1
chicken crispy still retains moisture inside dry chicken fragrant garlic butter sauce delicious side dish comfortably filled water delicious roll,1,1
restaurant pretty nice view especially evening towards van quan station chicken hot succulent restaurant clean fully equipped staff friendly work professionally parking motorbike first floor free charge security guard watch take motorbike,1,1
fried chicken eat delicious chicken succulent dry fried potato crispy served cheese sauce suitable taste,1,1
food delicious staff attentive attentive chicken crispy hope come try,1,1
restaurant spacious clean staff enthusiastic chicken delicious many dish choose,1,1
super tender succulent garlic butter chicken comfortable drinking water thing grow slowly come back many time,1,1
love texas chicken brand especially herbal sauce price slightly higher average price chicken brand available vietnam order staff warm enthusiastic fast making item please eat regular french fry cheese sauce extremely greasy greasy,1,1
delicious crispy chicken food come quickly friendly staff space airy clean come experience,1,1
delicious chicken garlic herb butter sauce securely packaged fast delivery everyone try,1,1
succulent chicken free drinking water welcoming staff advising reasonable combo come back,1,1
texas garlic butter chicken still something delicious eat time never get bored,1,1
delicious succulent chicken even though restaurant crowded dont wait long,1,1
succulent chicken good service point buts,1,1
view overlooking street seeing overhead train beautiful chill herb chicken spicy chicken nonspicy chicken tender succulent edible excellent mashed potato taste,1,1
chicken wing dry soft popular fried chicken restaurant employee said would delivered immediately made wait minute bit disappointed first time experienced,1,1
eaten time food suit taste delicious garlic butter chicken tender succulent chicken enthusiastic friendly consultant support shop,1,1
think chicken better brand forever love texas,1,1
food outstanding like attitude restaurant staff attentive polite point texas,1,1
opened right near house try chicken also delicious take long time serve quite crowded restaurant space large comfortable clean air conditioning water refilled freely,1,1
delicious chicken tender dry,1,1
delicious texas chicken crispy succulent chicken come texas must try garlic butter chicken,1,1
good service hot crispy food,1,1
garlic butter chicken delicious quite rich flavor satisfied amount food,1,1
found chicken delicious thought anyone doesnt like eat lot meat eat place like eat skin sauce chicken lot meat feel dry difficult eat,1,1
chicken fresh delicious side dish also delicious good service quality friendly staff,1,1
ordered waited bit food arrive chicken taste great live right phung khoang market often come,1,0
facility serving long placing order waited nearly minute witnessed customer canceling order took long salad delivered without informing customer even saw missing came ask,0,0
chicken herbal sauce delicious chicken skin chicken bit sour like breast sour spoiled chicken delicious shrimp burger crispy frozen shrimp roll cake doesnt taste good crust doesnt taste good,1,1
delicious crispy chicken dry parking space large comfortable,1,1
chicken texas crazy delicious juicy fragrant flavorful staff also enthusiastic wait food long,1,1
chicken cold fried ordering music loud type music eating difficult swallow made even noisy,0,1
delicious food enthusiastic staff visited restaurant many time satisfied,1,1
chicken garlic butter delicious roll delicious mashed potato delicious baked good delicious water delicious,1,1
delicious chicken still vnd staff boring every time ok time staff service attitude communication customer unpleasant,1,1
delicious reasonable price super cute staff dedicated support mk come back often,1,1
delicious food spacious airy seating,1,1
good service staff delicious chicken recommend ordering chicken garlic butter sauce herb,1,1
delicious chicken enthusiastic staff attentive service vnd try,1,1
boss staff painted shipping poorly,0,1
big bach mai still feel delicious eat texas chicken long served got water people rated low part quite right went grand opening given tote bag kperson,1,1
food take long time prepare staff attentive guest joke around food cold staff attitude good need improvement,1,1
staff crowded order take home garlic butter chicken texas roll ive waiting minute still order order come later first service,0,0
super fresh chicken eat remember forever point absolutely,1,1
chicken fresh delicious kid absolutely love herbal chicken,1,1
super delicious chicken dedicated service staff come back,1,1
waited exactly hour staff told wait minute bad deliver item shipper first customer wait later,0,0
delicious order sweet sour rice delicious delicious order rice rice sticky,1,1
delicious chicken cheerful staff open space,1,1
chicken crispy delicious tender staff enthusiastic considerate,1,1
general food good staff irresponsible making mistake missing item calling hotline cant solve problem boring,1,1
delicious enthusiastic service support shop lot,1,1
delicious food friendly staff,1,1
restaurant beautiful seat spacious chicken succulent dry,1,1
delicious garlic butter chicken good service,1,1
food good service extremely bad customer come order dont instruct get food counter let wait staff laugh talk loudly counter even though,1,1
delicious chicken doesnt fall apart garlic butter sauce best,1,1
chicken soft succulent dry marinade moderately rich,1,1
chicken delicious soft dry chicken garlic butter sauce always best,1,1
delicious food come back next time,1,1
delicious satisfied,1,1
delicious food reasonable price visit,1,1
among texas brand dry sauce ok dish bit less brand,0,1
ship arrived waited long time without item customer arrived later got item first,0,0
customer waited nearly hour get food staff forgot order went counter ask number staff attitude ill call turn didnt even ask number,0,0
restaurant located th floor chien thang ha dong restaurant space quite spacious comfortable parking think food super delicious feel like texas chicken better chicken brand,1,1
food quite diverse kid definitely love,1,1
september visited store advised shorthaired female order clerk enthusiastic spoke softly lovely rated star employee paid vnd food good space clean spacious next time stop support,1,1
um food quite good staff friendly,1,1
new restaurant opened chicken delicious piece k,1,1
food ok chicken piece succulent delicious staff cheerful although talk laugh suitable customer taste plus point food come quickly service attentive handsome staff,1,1
store good service delicious food cool space visit often,1,1
enthusiastic thoughtful cheerful staff point none there nothing discus food wonderful space airy parking,1,1
staff pretty friendly especially minh anh,1,1
texas chicken delicious like much,1,1
delicious food herb garlic butter always best,1,1
staff friendly enthusiastic towards customer unlike aeon facility,1,1
waited minute still havent received food yet hungry tired angry staff seem new paid working slowly gossiping store manager straighten,0,0
bad k piece chicken tiny people eat going lotte eat cheaper never come back next time,0,0
arrived returned july around pm pm delicious food friendly order staff security guard sitting silently watching customer struggling lead car weather sunny two female,1,1
quiet afternoon food come quickly,1,1
chicken crispy breast meat succulent taste isnormal taco delicious potato delicious order slow people come later get item first staff slow happy,1,1
im tired cake crushed bought take home without giving chili sauce,0,1
garlic butter chicken delicious always support texas,1,1
restaurant crowded staff making food super slow take long time average wait minute hour general people free nothing wait people busy office like,0,0
day went eat shorthaired female staff member enthusiastically ordered meal delicious comfortable,1,1
staff attitude bad,0,0
staff enthusiastic cute although dont know menu well sadly food taste good physical condition,1,1
restaurant delicious chicken flavorful outside crispy meat inside fresh delicious greasy like place close home convenient go think,1,1
staff concentrate work joked around many customer waiting chatted loudly right counter,0,1
garlic butter chicken extremely delicious waited super long minute asked staff still didnt care waited long buy didnt check missing item cauvvvvvvv,1,1
eating month nice get pay,1,1
staff nice friendly,1,1
fresh chicken friendly staff,1,1
first time last time come place bad experience staff customer service attitude,0,0
shop spacious airy plenty parking enthusiastic staff staff observant combo wing get chicken bone still pick wing breast eat dry,0,1
