Review,Label
good service good food good price,1
delicious u,1
nice,1
good,1
nice,1
staff quite unfriendly food okay commensurate price,1
delicious fresh food reasonable price,1
one favorite place young people food clean safe many dish choose service attentive enthusiastic find article interesting please like thank much,1
delicious food affordable price student,1
student restaurant cheap delicious rich hot pot broth many dish expensive price owner service parking staff extremely friendly enthusiastic phung khoang area,1
food relatively cheap room quite damp clean customer friendly service,1
good food reasonably priced good transportation,1
restaurant spacious clean private quiet airy room,1
food delicious cheap,1
food quite delicious ate hot pot twice time good grilling bit boring smoker weak meat fatty bit grilling whole table burn smoke,1
food quite good shop owner enthusiastic shop airy location near many residential area student number customer every day quite large,1
restaurant space airy spacious food look clean beautiful eat grilled food find marinated food delicious,1
price okay service staff slow poor restaurant manager unskilled always letting staff stand around customer never order anything,0
restaurant delicious nutritious cheap like student however need improve staff attitude quality dressing time day food quality ok day bad day salty kimchi big,1
service attitude extremely poor went guy came twice every time told go told go people told sorry ran table even though many table left swear even give money never go branch lau phan,0
dining entertainment center phung khoang area suitable student young people around area diverse need eating drinking shopping entertainment cheap affordable minus point bit narrow,1
food delicious cheap vietnamese pub space,1
food diverse abundant price acceptable difficult find table sit table put butt arena life death,0
eaten time best impression cheap price ok hotpot grilled suitable taste staff point want eat good price choose place lestguide,1
delicious food reasonable price suitable student service staff ok,1
air conditioning private room suitable group people cheap enthusiastic service however food fresh delicious,1
food relatively cheap room quite damp clean service attitude need improved,1
food quite delicious space spacious bustling ate hot pot twice time okay,1
barbecue quite delicious cheap indooroutdoor dining space suitable gathering friend,1
new urban area process completed collection nightlife bar coffee shop lover meet friend,1
poor service attitude ordered something never came called staff even owner attitude received per,0
reasonable price,1
food quite good seat quite good service quite good,1
grill village vibrant bustling pm pm food includes grilled hot pot dipping hot pot party venue student worker work price k k,1
delicious food attentive service airy clean satisfied,1
delicious restaurant cheap price enthusiastic service,1
really like restaurant delicious food good service reasonable price,1
food quite good crowded there lot service room service isnt agile,1
food okay sometimes eat old food freezer ate time stomach ache,0
extremely unhygienic cup iced tea cup paper order next cup peanut shell bottom dont understand,0
shop okay quality good,1
delicious expensive food disc cost k frozen food,1
food good expensive room cramped smell bad,1
lot delicious attractive dish affordable price,1
cheap price attentive service staff ok party,1
delicious food good service cool seating location,1
food quite delicious cheap nice spot,1
good food cheap price,1
quite delicious cheap attentive staff,1
food also delicious mixed hot pot feed people,1
best cheap food grilled buttermilk bread,1
normally vegetable washed cleanly many old vegetable dirty soil,1
food good price reasonable,1
average food okay good,1
food quite bad service quality good,1
thank giving beautiful eye,1
advise everyone come food rotten service fine,1
service around area good price affordable,1
food okay service staff attentive,1
extremely long service food expensive uncle,0
food bland air conditioning bit hot,1
food quite good suitable gathering friend,1
restaurant spacious airy delicious food,1
suitable everyone reasonable cost,1
braised carp dish truly wonderful,1
food cheap quite delicious,1
also good food,1
grilled meat much fat everything else okla,1
diverse good price student,1
delicious take bit time make,1
delicious affordable price,1
gathering place crowded young people,0
service staff bit slow,0
delicious closed bit early,1
specializes baked good,1
quite airy clean,1
crowded good restaurant,1
shop bit dirty,0
delicious beef crab hotpot,1
delicious cheap,1
tasty,1
cheap delicious,1
quite delicious cheap,1
dirty etc,0
delicious,1
delicious hotpot,1
quite delicious,1
great,1
hot noisy,1
many delicious baked good,1
delicious nutritious cheap,1
delicious cheap,1
delicious cheap,1
service bit poor,0
delicious,1
good restaurant,1
delicious nutritious cheap,1
wine bit expensive,0
delicious,1
delicious nutritious cheap,1
great,1
tasty,1
delicious cheap,1
