Review,Label
good,1
good,1
mixue always number one choice craving ice cream milk tea ice cream mixue delicious especially fresh smooth fragrant ice cream taste moderately sweet harsh like matcha ice cream,1
shop spacious food made quickly staff enthusiastic cute,1
new shop rose lychee jelly milk product rose peach ice cream delicious dear like much hihi,1
matcha fresh milk delicious even matcha ice cream sundae amazing lunnnnnn shop favorite customer lun goiii adorable moment,1
largest facility among mixue facility ive ever staff super lovely security guard bit rude,1
amazing word describe drink every day,1
restaurant space spacious comfortable cheerful staff enthusiastic take care,1
restaurant space spacious staff enthusiastic many beautiful boy girl,1
super delicious drink enthusiastic friendly staff clean store vnd,1
dont know came buy thing listen scolding father protective attitude contacted manager one responded,0
spacious space delicious drink friendly staff,1
delicious rose peach ice cream sweet,1
friendly staff delicious drink,1
drink delicious staff enthusiastic attentive,1
delicious drink friendly staff,1
great experience delicious water beautiful people beautiful scenery enthusiastic staff love mixue,1
cup super pretty ive many time drink alcohol staff friendly adorable,1
service good restaurant also clean spacious,1
wonderful diverse menu enthusiastic staff,1
bad experience trieu facility protection attitude poor motorcyclist time stop shouted park car neatly first normal,1
friendly staff delicious drink clean space,1
shop friendly delicious cheap drink respect,1
handsome staff shop clean airy,1
friendly staff good drink,1
delicious food enthusiastic staff take care customer,1
delicious restaurant friendly staff,1
friendly staff spacious store best brew chain,1
delicious nutritious cheap enthusiastic staff,1
great delicious drink friendly staff,1
nice clean restaurant good service delicious drink,1
quality drink beautiful staff,1
flag super beautiful cool good staff super large space suitable sitting running deadline,1
security guard considents guest th went eat grilled restaurant next mixue restaurant got back hospital grill brought car doctor mixue said money eat,1
space clean beautiful dish updated quickly,1
mixue super delicious drink cup every day,1
enthusiastic service staff delicious drink please come experience,1
woaaaaaa drinking tea delicious,1
shop delicious food lovely price,1
shop clean drink delicious,1
told staff come clear table never showed clear table customer sit came told yes waited forever didnt show kbg come back second time,0
great experience restaurant huge spacious,1
veri guutttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt nvien girl cuteeeee food also deliciousnnn,1
shop beautiful drink good,1
super enthusiastic friendly staff,1
wonderful top gout five curl,1
beautiful space delicious ice cream,1
drink better quality store bland service also good overall better mixue place ive,1
cute staff super delicious ice cream,1
delicious water friendly staff,1
awesome delicious point,1
lovely shop lady wearing glass enthusiastically give cute advice,1
delicious drink enthusiastic friendly staff,1
friendly enthusiastic staff clean airy restaurant delicious drink,1
delicious food good service,1
personal opinion mix suitable taste staff friendly seat spacious nothing criticize,1
delicious drink quick dedicated service,1
delicious cheap quality,1
drink truly amazing,1
good service delicious tsua,1
nvien lovely enthusiastic point good drink come back many time,1
new shop nice,1
friendly staff clean store delicious drink,1
good staff attitude,1
restaurant delicious,1
friendly staff delicious drink,1
st floor smelly st nd floor hot almost air conditioning turned group went many time one could find connect wifi experience good staff okay protected attitude towards customer,1
delicious ice cream point space nice staff,1
enthusiastic supportive staff airy clean restaurant,1
delicious fai bic,1
restaurant big beautiful drink diverse delicious nvien ok doesnt restaurant pay salary security guard going work feel like old man,1
drink delicious cheap ive many time,1
delicious nutritious cheap,1
normally ok buy friend bought cup matcha fresh milk went buy bread got drink cup tapioca pearl asked friend said come staff keep looking ran,1
wonderful place cute beautiful enthusiastic staff,1
lovely enthusiastic employee,1
attentive service giant mini mixue,1
delicious water super friendly staff,1
delicious water friendly enthusiastic staff,1
delicious great,1
lemon black tea drank today terrible even minute cup water already feel bitter mixues sold like losing customer,0
pretty good,1
delicious drink,1
friendly enthusiastic staff,1
delicious drink,1
good character,1
delicious drink,1
forever love,1
delicious,1
great drink,1
super friendly staff super delicious food,1
order less ice less sugar sore throat filled sweet ice,1
shop clean airy ordered busy day didnt wait long,1
drink delicious,1
good service staff,1
june sat lot mixue shop found shop quite clean staff ok security guard attitude good still gave shop star owner take care staff,1
delicious ice cream friendly staff,1
friendly staff,1
dirty staff store entrance receptionist disabled couldnt speak didnt see greeting didnt say anything asked bunch staff stood looked customer like alien really,0
drink delicious delicious rac,1
delicious ice cream,1
eating matcha ice cream bitter sweet making taste less delicious,1
store good,1
staff attitude unpleasant table chair cleaned dirty attitude like wanting punch customer arrived hasnt done anything yet toilet foul order messed avoid,1
shop good establishment,1
drink delicious,1
good serve warmly,1
deliciousnn staff cute,1
thing finished waited forever staff didnt call kept waiting didnt proactively ask would kept waiting long time,0
big beautiful spacious store,1
friendly staff,1
fun,1
staff attitude towards customer good bad unhappy experience,1
delicious drink friendly staff fun atmosphere,1
staff attitude like dbrr rude matter bite floor dirty toilet disgusting nauseous please close shop,0
security guard attitude toward guest glared cursed bad,0
enthusiastic staff delicious drink clean airy restaurant,1
wonderful,1
tasty,1
delicious drink,1
staff attitude rudebusiness sloppy,0
great,1
great,1
good,1
thaias staff poor recommend coming,1
delicious drink,1
great,1
