Review,Label
jollibee food nice gf told exactly taste ph,1
great expected jfc far best trained crew vn chance visit lost chicken joy photo suggest comparing chicken nearby fastfood photo see experience parity well done jollibee trung hoa keep,1
good,1
great experience,1
food super delicious service fast staff enthusiastic one day went eat hung shirt chair dropped wallet ground without realizing left restaurant went,1
still delicious establishment floor beautiful comfortable view,1
staff cheerful sociable food delicious well worth experience,1
staff enthusiastic food delicious restaurant space clean peak hour quite crowded wait table take staff cute,1
delicious delicious friendly enthusiastic service spacious airy seating please let come,1
jolibee chicken delicious space spacious floor clean airy close house kkk dmmmm,1
good food friendly staff,1
go way buy delicious piece chicken ask staff take thigh thigh part say ok go home order chicken breast thats great im losing weight im sick,1
im victim jollibee fried chicken next door oiii establishment usually crowded go early less crowded always best always best,0
delicious food enthusiastic staff,1
good food clean friendly staff,1
oki welcome everyone cute enthusiastic staff delicious food,1
stop every day eat food delicious service staff enthusiastic attentive wonderful experience,1
delicious food quick friendly staff,1
space airy clean delicious chicken cheerful enthusiastic staff,1
fast service clean delicious food try,1
restaurant beautiful view delicious chicken noodle however dipping sauce smell bit chemical hamburger bit much flour,1
loyal fan delicious addictive eating chicken brand noodle delicious jollibee,1
food delicious ordered chicken rice soup good service bit slow,1
find food delicious often eat restaurant often crowded full get nice outdoor seat,1
price cheap chicken quite delicious service okay spaghetti bit cold chicken rice combo would better,1
uniquely designed place enjoy delicious food person love staff eye sparkled introduced dish amazing feel loved cared much want come back next time next time,1
delicious food beautifully decorated eyecatching chill music spacious space sweet pumpkin soup delicious sticky rice chicken spicy sauce little bit sauce sauce even piece,1
fast food attentive enthusiastic staff,1
super satisfied food service extremely crowded greeting guest smiling ear ear,0
food bad burger soaked oil bun soft burger filling ball dough shrimp ball fried dough smell oily chicken without dipping sauce brought home,1
staff thoroughly trained noon weekday shop empty like even everyone warm enthusiastic unlike coffee shop take photo show face come support shop,1
professional service clean cool delicious food pointsmmm,1
restaurant crowded enthusiastic like manager minh anh welcoming guest worth coming back,1
enthusiastic staff delicious food great experience,1
good food attentive staff,1
ate last day opening promotion crowded everything fast polite security guard restaurant staff ordered lot item couldnt carry staff took,1
good food enthusiastic staff space clean continue support shop,1
trung hoa staff extremely boring compared hieu time finished eating went buy ice cream one ordered ice cream staff stood even though told buy ice cream cone,0
delicious food enthusiastic service,1
delicious food enthusiastic service staff,1
ordered noodle chicken wrong delivery chicken rice noodle eating utensil straw fork ordered store ate hand lack professionalism preparation,1
came buy food waited still didnt receive food want come eat youll wait long time dont recommend bought place park car time day,1
food delicious staff also enthusiastic spacious airy seating,1
staff took care enthusiastically food brought still hot delicious,1
delicious food come next time,1
even though crowded staff still nice agile really like dont want eat delicious food every day go matter much ask ask help staff always enthusiastically,1
food come quite quickly staff enthusiastic,1
placed order app j order delivered called back staff number one answered phone explanation pm still waiting didnt know food would arrive bad,0
food delicious come quickly without wait long staff work well,1
good service enthusiastic staff,1
placed order km away chicken cold crumbly bad taste throw away entire spicy chicken set flaky,0
delicious food lovely enthusiastic staff,1
food still good branch thank nd floor employee named dung lending charger saving longdistance relationship,1
delicious food salt pepper chicken wing delicious,1
delicious food enthusiastic staff,1
took long time receive order lack eating utensil shipped planned served hand something packaging poor took food looked didnt dare eat,0
delicious food enthusiastic staff point,1
delicious food friendly staff eaten time month,1
delicious food attentive fast enthusiastic service,1
everything ok except finished eating went get car took street adjust mirror go found mirror broken dont know security guard broke try fit car,0
hot food served quickly peak hour crowded staff still attentive place frequent often,1
food delicious manager take care customer satisfied service,1
food like establishment service extremely surprising manager staff skillful thoughtful facility beautiful airy came lunch restaurant close office,1
delicious beautiful food enthusiastic sociable staff clean airy store cool outdoor table nice restaurant come next time,1
food come quickly noodle still hot chicken crispy delicious facility beautiful space floor wide staff nice support enthusiastically,1
bad staff attitude thigh asked wing breast gave customer breast customer refused asked still thigh left staff attitude enthusiastic answer seem annoyed,0
fast food enthusiastic cute staffgg,1
space clean even though crowded staff enthusiastic food delicious,1
food delicious manager staff worth vnd,1
story december went eat restaurant table ordered combo k paid order checked bill staff gave bill kitchen prepare received drink waited rest,0
fried chicken nothing special compared restaurant pleasant service space bit narrow parking space fee parking,1
every time visit new facility found staff agile welcoming customer food came quickly ordering sat food within minute space airy clean next time visit,1
airy space delicious food,1
great service fried chicken crispy hot irresistible flavor space clean comfortable take care staff super enthusiastic come back,1
good service ok food,1
delicious food lovely attentive service staff thu trang white shirt super enthusiastic attentive,1
shiper see unprofessional staff still bad attitude processing machinery flexible like running food,1
good customer care careful thoughtful food dedicated service quite delicious food vnd,1
food delicious space also spacious compared place hanoi eaten,1
potato dry staff stood around standing around talking endlessly giving food customer go home,0
security guard thought owner restaurant told park car left later yelled leave told leave like next time wont let come okay first time next time last strong criticism,0
eat delicious cool,1
give star without saying much pm came buy something staff forgot give change k going let go went back counter said hey forgot give change,0
spicy chicken delicious eaten many time good food service,1
spacious cool space enthusiastic staff quick dressing,1
delicious food enthusiastic staff,1
food delicious staff friendly,1
shop clean staff friendly crowded night security guard help car quickly close home ill back,1
restaurant space spacious delicious food friendly enthusiastic staff vnd quality,1
delicious food super cute staff often eat really like,1
day ago restaurant crowded manager scolded staff aloof disrespectful customer scolded staff couldnt even lift face affected atmosphere made feel like sitting middle restaurant market,1
staff friendly food absolutely delicious,1
good service delicious food nice staff spacious dining area,1
enthusiastic friendly staff chicken noodle vnd,1
sympathy shop niceness staff tripped spilled water restaurant staff enthusiastically helped never review restaurant impressed customer service restaurant,1
delicious food fast service clean space pleasant sit,1
food came quickly really liked service attitude staff,1
delicious food friendly staff shop clean come,1
food beautifully decorated restaurant play chill music staff enthusiastic,1
crispy chicken delicious,1
enthusiastic staff delicious hot food delicious noodle,1
eat spot food delivered cold order staff always show attitude sometimes order app food delivered chicken crumbly potato burned really disappointed wont come back second time,0
restaurant good service staff clean food come back,1
store spacious clean service staff good friendly,1
accept attitude staff problem occurs one come resolve receiving one sentence staff saying ive moved mention hearing single apology terrible,0
food ok young security guard enthusiastic older security guard enthusiastic helpful,1
fast enthusiastic staff changed new young gentle security guard ncl satisfied come back,1
good experience super delicious service come back eat,1
food come fast staff enthusiastic,1
delicious food friendly service worth coming experience,1
delicious food friendly staff,1
delicious spaghetti,1
staff doesnt respect customer also customer right staff rude dont know restaurant management leave like,0
delicious cheap fast,1
delicious food cute staff,1
full set meal enthusiastic staff food come quickly,1
take hour make one serving eat something else quickly,1
food delicious worth enjoying,1
enthusiastic staff clean satisfied food,1
undeniably delicious food cashier pretty,1
famous long time delicious food suitable class,1
enthusiastic staff food quite ok food arrives quickly,1
staff polite quick assist difficult situation,1
aqn food delicious staff unprofessional,1
delicious food friendly service,1
delicious food attentive service,1
waiting food long time restaurant crowded waited minute get food,0
hot delicious chicken service staff quick,1
good service cool space ok,1
service good fast food come quickly restaurant crowded night,1
clean store delicious food,1
want eat delicious food k come,1
delicious food friendly staff,1
good food joolibe question,1
super delicious food dedicated attentive friendly staff,1
food came quickly hot staff friendly,1
delicious food clean space,1
good food clean,1
received item quickly staff took good care,1
delicious food good service,1
restaurant service good come back,1
ok enthusiastic staff delicious food,1
good delicious fast service,1
good food good service,1
good food good service,1
enthusiastic service delicious noodle,1
enthusiastic staff delicious chicken,1
beautiful clean space friendly staff,1
okay food little cold,0
delicious fast vnd,1
good food friendly staff,1
wonderful satisfied,1
delicious,1
good delicious,1
good delicious,1
