Review,Label
food average guess cuz didnt try much large menu restaurant rate star personal taste suitable young people teenager price reasonable hate cold noodle,0
pretty good experience food service maybe go quiet time comfortable food came quickly staff quite attentive price reasonable food doesnt make stomach ache wife,1
shop small spiral staircase tiny walk way th floor bit tiring menu look attractive cheap actually third time ive,0
came rd time staff polite served well however point would like comment food panchan ok,1
food okay service enthusiastic attentive rate star,1
food good coming experience compared korean restaurant price similar quality much lower beef tough dry chicken bit dry tender wasting time going eat friend unexpected ending,1
food also average cold noodle delicious panchan fine,1
food terrible cant figure kind combo put fried food drink crab stick kimbap look like came freezer cold noodle didnt even chili sauce sprinkle,0
nice space normal food security lack enthusiasm,1
restaurant crowded book table advance first checked page saw facility le dai hanh couldnt find went night spent nma couldnt eat,0
sweet food scary ate combo serving cold noodle shop beauty wont come back next time,0
food bad chicken dry tok understandable cooked bgio brought terrible food bgio qlai,0
honestly food boring compared first time came jokingly asked waiter hotpot good said tok hotpot eating like punching customer face spending much money eat,1
food salty compared taste dish prepared quickly service take,1
food also delicious parking space small take delivered however bit small bit cramped ive area long time im interested,1
food ok compared student price waiting good super long shop also cramped staff carrying food need ask customer tilt chair get crowded normal,1
quite delicious cheap price range went people ordered combo k added tok salad plate chicken totaled k nationwide got extra caramel free full didnt run divided fish,1
food good pp space quite nice,1
raw shrimp delicious little sauce rice given like never feel like cold rice,1
ive never korean restaurant thats expensive food isnt delicious staff attitude disrespectful customer laugh laugh dont know general bad,1
food tasted pretty good lot strange little thing also bit cold,1
restaurant always crowded decor restaurant beautiful restaurant space nd th floor,1
food came slowly beef noodle cold hard vegetable grilled dared sell restaurant customer,0
restaurant space beautiful beautiful view intersection food taste tokbokki hot pot salty mixed rice bland rice mushy drink bit expensive service also ok get free ice cream tea panchan,1
korean food dish range around vnd suitable student area food okay staff attentive particular shop lovely storey space pink tone making chill taking picture,1
delicious food reasonable price meeting criterion delicious nutritious good price,1
food delicious filling clean friendly eat noodle placed bowl keep hot eaten suitable super cute date,1
restaurant decor pretty many delicious side dish kimchi salad radish,1
well think restaurant really good go eat food depends taste enthusiastic sport staff make feel appreciated spend money,1
cheap price enthusiastic staff good space food doesnt suit much im satisfied,1
reception desk service attentive always customer need satisfied,1
food isnt great okay jasmine tea delicious little sweeter enthusiastic staff,1
restaurant located tran dai nghia street address right street restaurant space clean floor th floor cool outdoor seating space eat drink admiring,1
restaurant beautifully decorated food normal think rice roll best eat rest good people order mixed rice bowl large wont,1
restaurant nice view lovely decor people order grill set k water kperson grilled set special like every time eat establishment dong da order okie dish,1
personally think shop decorated beautifully chill chill feeling find staff attitude good nothing criticize get fast food,1
delicious food nice staff please print,1
memorable birthday thank restaurant beautiful thoughtful birthday organization service make touched,1
arrived restaurant crowded waiting time long,0
even though booked table advance got staff still made wait empty table bother asking book table minute later sat waited another minute food arrive time consuming food normal advertising get crowded,0
havent eaten yet must immediately evaluate poor service hire security guard better install camera keep eye car guest come look phone dont understand,0
hi crowded stop restaurant try food come quickly food delicious view th floor great price student,1
many delicious new dish dont know one choose hope eat new menu new restaurant,1
delicious food suit taste polite staff spacious airy space,1
restaurant space beautiful small feel uncomfortable food okay excellent bad reasonable price suitable student want date,1
beautiful shop clean enthusiastic staff food came quickly okay drink ok try price compared general level expensive,1
